	Topic_Num	Topic_Perc_Contrib	Keywords	Text
0	0.0	0.6353	bill, dwr, vote, pass, assembly, tax, direct_access, issue, legislation, contract	"fyi
---------------------- Forwarded by Steven J Kean/NA/Enron on 07/18/2001 07:15 AM ---------------------------
From:	Jeff Dasovich on 07/17/2001 07:31 PM
Sent by:	Jeff Dasovich

To:	skean@enron.com, Richard Shapiro/NA/Enron@Enron, James D Steffes/NA/Enron@Enron, Susan J Mara/NA/Enron@ENRON, Harry Kingerski/Enron@EnronXGate, Leslie Lawner/Enron@EnronXGate, Michael Tribolet/ENRON@enronXgate, Kristin Walsh/Enron@EnronXGate, Karen Denne/Enron@EnronXGate, mpalmer@enron.com, Janel Guerrero/Enron@EnronXGate, Paul Kaufman/Enron@EnronXGate, Susan M Landwehr/Enron@EnronXGate, Linda Robertson/NA/Enron@ENRON
cc:	 

Subject:	California Update--0717.01

What people know:

Hertzberg (et al's) bill (82XX)was heard in an ""informational"" hearing today and still sits in the Assembly Energy Committee.  It will be heard again tomorrow (perhaps beginning at 10 AM) , at which time parties will have a chance to support/oppose and ask for amendments.  Most, including us, oppose unless significantly amended.
The Wright (D) -Richman (R) bill (83XX)was heard in an ""informational"" hearing today and still sits in the Assembly Energy Committee.  It will be heard again tomorrow, at which time parties will have a chance to support/oppose and ask for amendments.  From our perspective, this is the best bill out there yet, though it still has serious problems---it isn't available electronically yet, but should be tomorrow, and I'll distribute then.  The chances of the joint D-R bill being successful are slim, however, since it's up against the Speakers competing bill.  There is talk that the Speaker will try to negotiate with Wright/Richman tonight and include any agreement in his bill (82XX).
The original version of the Governor's MOU bill sits in the Senate.  Most believe that Burton will put it up for a vote this week and it will fail.
The Senate's version of the MOU (Sher-Peace-Kuehl) (78XX)came out today.  It will likely be heard in the committee tomorrow or the next day.  Notably, it kills Direct Access completely and makes Edison shareholders responsible for that portion of Edison's debt owed to suppliers.  In short, a very bad bill.
Burton's 18XX, which would de-link the bond issuance (to pay back the General Fund) from the DWR contracts is likely to pass the Senate tomorrow or the next day.  Many--including Enron--support the bill (though we are supporting it behind the scenes).

What people don't know:
Whether there's the time or the will in the Assembly and Senate to achieve by Friday a single, comprehensive bill that can be sent to the governor for his signature. 
Whether the Legislature would postpone its month-long recess if the Legislature hasn't finished a bill by Friday (most folks think they will not postpone).
Whether it's true that, irrespective of the energy issue, the Legislature will fail to get the budget completed by Friday and therefore have to postpone their recess anyway, in which case they might continue to work on the energy legislation at the same time.

Odds-makers still say it's better than 50-50 that the Legislature does not get the Edison bills done by Friday and leaves on on its 30-day vacation.

Best,
Jeff

Sacramento is one goofy place.

"
1	1.0	0.6261	customer, market, utility, rate, cost, retail, consumer, electricity, demand, deregulation	"California's power crisis has generated heated debate over the last several months.  Unfortunately, this debate has generated more heat than light.  We want you to know what the facts are and what we are doing about the crisis.  Please spend a few minutes reading the following overview on the situation and our position on California energy issues.

What happened in California

The source of California's current problem is as straightforward as supply and demand.  California's economy grew 29 percent since 1998.  This increased the demand for electricity by 24 percent.  At the same time, regulatory restrictions prevented new generation from getting built in the state.  So demand grew but regulations prevented supplies from being added.  The result, predictably, is a shortage.  This summer, peak capacity will be about 10 percent shy of peak demand, leading to further blackouts in the state.

In addition to the supply and demand imbalance, there are two other related factors that led to the current crisis.  First, the state's regulations forced all sales and purchases into the spot market.  The spot market for power is extraordinarily volatile.  The way firms behave in a free market when faced with such volatility is to construct a portfolio of purchases long term, medium term and short term, to reduce exposure to this volatility.  In California, state regulation prevented this strategy.  This would be the equivalent of putting the entire state on an adjustable rate mortgage in the most volatile interest rate environment imaginable.  Everything was fine while the power surplus persisted, but when shortages ensued, every megawatt was purchased at the sky rocketing spot price.

Second, retail markets were not deregulated.  Regulated retail rates remained in effect, and stranded cost recovery charges were structured to keep competition out.  This meant that utilities were forced to pay high wholesale prices in the spot market but were only able to recover costs at the regulated retail rate.  They are now nearly bankrupt.

In short, California's problems were caused by regulation, not deregulation.  Regulations prevented competitors from entering the market, prevented new generation from being built, and prevented prudent hedging against volatile spot prices.

At the time California was developing its restructuring plan, Enron warned the state's policy makers about these risks and proposed alternatives, which, if adopted, would have averted the current crisis.

Enron's Role

Many political leaders in the state have elected to fix blame rather than fix the problem.  Power sellers, including Enron, have been vilified by the politicians and the media.  Here are the facts:

?	Other than a small amount of wind power, Enron is not a generator in the state of California.  Every megawatt we sold in California we bought in the same market available to other California purchasers.  Because we are a market maker, not a generator, we are not biased toward high prices.  We are interested only in having a market that works so that we can package products for our customers.
?	As a seller to end-use markets in the state, we provided protection from the problems the states' utilities, and their customers, now face.  We protected, and still protect, our customers from price volatility.

You may have read that EES recently elected to have the utilities supply power directly to its customers in California instead of procuring power on the open market.  Early reports mischaracterized this as a ""turnback"" of our customers to the utilities.  Here are the facts:

?	As a result of a variety of factors existing in the current California market, it made more sense for EES to source power for its customers directly from the utilities.  This decision reduced EES's market price risk by allowing EES to access lower utility rates.
